Date,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI)
9/26/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
9/27/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
9/28/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
9/29/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
9/30/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
10/1/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
10/2/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
10/3/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
10/4/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
10/5/2000,-0.196327335,-0.032111815,-0.17370085,0.213724519,-0.700854986,0.773216673
10/6/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/7/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/8/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/9/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/10/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/11/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/12/2000,-0.189486241,-0.024374977,-0.169206528,0.224286656,-0.738758637,0.771153991
10/13/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/14/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/15/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/16/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/17/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/18/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/19/2000,-0.181379535,-0.016872158,-0.166304544,0.241659771,-0.776526917,0.768952917
10/20/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
10/21/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
10/22/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
10/23/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
10/24/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
10/25/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
10/26/2000,-0.174635359,-0.018294722,-0.16690516,0.266520075,-0.818410315,0.766629666
